Course,Professor,GPA,% of A's,% of B's,% of C's,% of D's,% of F's,N
,MANSON P,2.23,0.0%,47.06%,41.18%,0.0%,11.76%,1
,STURGEON S,2.37,15.9866666667%,37.3433333333%,21.3433333333%,18.2466666667%,7.07333333333%,3
,VACHTSEVANOU S,3.08,35.4166666667%,46.53%,13.1966666667%,0.0%,4.86%,3
,,,,,,,
ELIG-300,,,,,,,
,COOPER B,2.34,9.621%,47.651%,21.205%,9.96%,11.562%,10
,FLACY K,3.0,22.22%,55.56%,22.22%,0.0%,0.0%,1
,,,,,,,
ELIK-100,,,,,,,
,MAKAL T,2.55,27.27%,36.36%,9.09%,18.18%,9.09%,1
,,,,,,,
ELIL-100,,,,,,,
,CARDOSO D,3.33,66.67%,11.11%,11.11%,11.11%,0.0%,1
,COOPER B,2.85,35.0%,45.0%,5.0%,0.0%,15.0%,1
,HARPER K,2.71,40.4%,24.745%,14.645%,5.555%,14.645%,2
,HINSON C,3.05,31.82%,54.55%,4.55%,4.55%,4.55%,1
,WILLAERT A,2.64,27.27%,36.36%,18.18%,9.09%,9.09%,1
,WINSTON V,2.25,24.2628571429%,30.1214285714%,12.5185714286%,12.7671428571%,20.33%,7
,,,,,,,
ELIL-200,,,,,,,
,CHICK N,3.22,44.44%,33.33%,22.22%,0.0%,0.0%,1
,MCINTYRE C,2.55,16.375%,46.2%,23.975%,2.63%,10.82%,2
,ROCHA R,2.78,33.33%,44.44%,0.0%,11.11%,11.11%,1
,VACHTSEVANOU S,2.74,10.53%,63.16%,15.79%,10.53%,0.0%,1
,VERNON T,3.22,38.89%,44.44%,16.67%,0.0%,0.0%,1
,WEST V,2.78,31.12%,38.976%,12.268%,12.726%,4.906%,5
,WINSTON V,2.65,28.3833333333%,38.9633333333%,10.9733333333%,14.0%,7.68%,3
,YOUNG L,2.38,3.85%,61.54%,11.54%,11.54%,11.54%,1
,,,,,,,
ELIL-250,,,,,,,
,STURGEON S,2.33,25.0%,33.33%,0.0%,33.33%,8.33%,1
,VERNON T,3.55,54.55%,45.45%,0.0%,0.0%,0.0%,1
,WEST V,2.89,27.78%,38.89%,27.78%,5.56%,0.0%,1
,WILLAERT A,2.41,12.0383333333%,51.8466666667%,12.8783333333%,11.5183333333%,11.7216666667%,6
,WINSTON V,2.74,16.665%,59.615%,12.18%,3.845%,7.69%,2
,,,,,,,
ELIL-300,,,,,,,
,CARRUTHERS S,2.61,28.43%,31.7628571429%,21.5457142857%,9.50857142857%,8.75428571429%,7
,STURGEON S,1.71,8.076%,32.94%,13.314%,13.076%,32.592%,5
,WILLAERT A,3.14,22.545%,68.63%,8.825%,0.0%,0.0%,2
,,,,,,,
ELIM-100,,,,,,,
,COX L,2.57,42.86%,28.57%,0.0%,0.0%,28.57%,1
,,,,,,,
ELIO-100,,,,,,,
,CHICK N,2.28,5.83333333333%,57.2616666667%,14.0483333333%,5.0%,17.8566666667%,6
,FLACY K,2.35,0.0%,51.905%,34.52%,10.235%,3.335%,2
,GARVER R,2.71,14.29%,42.86%,42.86%,0.0%,0.0%,1
,HARPER K,2.75,25.0%,50.0%,12.5%,0.0%,12.5%,1
,PERLMAN R,2.12,0.0%,56.365%,17.88%,6.665%,19.09%,2
,STURGEON S,2.45,22.5%,32.5%,22.5%,12.5%,10.0%,2
,VACHTSEVANOU S,2.76,16.0%,56.0%,20.0%,4.0%,4.0%,1
,WEST V,2.56,11.11%,55.56%,11.11%,22.22%,0.0%,1
,WILLAERT A,2.2,4.195%,59.39%,7.5525%,9.475%,19.38%,4
,,,,,,,
ELIO-200,,,,,,,
,ASBERRY E,3.0,0.0%,100.0%,0.0%,0.0%,0.0%,1
,CHICK N,1.55,9.09%,36.36%,0.0%,9.09%,45.45%,1
,HARPER K,2.54,18.52%,55.56%,3.7%,3.7%,18.52%,1
,MANSON P,1.97,3.57%,34.765%,34.05%,10.235%,17.38%,2
,PAYNE G,2.75,25.0%,50.0%,12.5%,0.0%,12.5%,1
,PERLMAN R,2.93,21.43%,64.29%,7.14%,0.0%,7.14%,1
,STURGEON S,2.3,8.825%,37.91%,36.275%,8.495%,8.495%,2
,SUROVIK R,2.11,0.0%,55.56%,11.11%,22.22%,11.11%,1
,VERNON T,2.83,8.335%,79.165%,4.165%,4.165%,4.165%,2
,WEST V,2.49,5.932%,59.06%,20.754%,5.304%,8.948%,5
,WINSTON V,2.55,5.0%,65.0%,15.0%,10.0%,5.0%,2
,,,,,,,
ELIO-250,,,,,,,
,CARRUTHERS S,2.06,0.0%,41.18%,35.29%,11.76%,11.76%,1
,CHICK N,1.67,8.33%,33.33%,8.33%,16.67%,33.33%,1
,PETERS R,2.69,6.25%,75.0%,6.25%,6.25%,6.25%,1
,PULAK S,2.91,0.0%,90.91%,9.09%,0.0%,0.0%,1
,STURGEON S,1.62,2.0825%,27.6175%,21.6675%,27.3825%,21.25%,4
,WEST V,2.48,5.3575%,65.1175%,8.69%,13.93%,6.905%,4
,WINSTON V,2.17,0.0%,58.335%,10.555%,21.11%,10.0%,2
,,,,,,,
ELIO-300,,,,,,,
,CARRUTHERS S,2.77,12.5425%,62.6025%,17.94%,3.3475%,3.57%,4
,COOPER B,2.19,3.12125%,53.41875%,15.7875%,14.21625%,13.45625%,8
,PULAK S,2.78,11.675%,67.64%,13.5733333333%,1.19%,5.92333333333%,6
,STURGEON S,1.45,0.0%,18.18%,36.36%,18.18%,27.27%,1
,WEST V,2.2,0.0%,60.0%,10.0%,20.0%,10.0%,1
,,,,,,,
ELIP-100,,,,,,,
,SEARS M,2.82,27.27%,45.45%,18.18%,0.0%,9.09%,1
,,,,,,,
ELIR-100,,,,,,,
,CARDOSO D,2.67,22.22%,44.44%,22.22%,0.0%,11.11%,1
,CHICK N,1.7,8.93%,21.5266666667%,20.3566666667%,29.2466666667%,19.94%,3
,COOPER B,1.85,23.08%,23.08%,7.69%,7.69%,38.46%,1
,DZIUBINSKI I,1.31,0.0%,23.08%,23.08%,15.38%,38.46%,1
,GARVER R,3.38,50.0%,37.5%,12.5%,0.0%,0.0%,1
,PERLMAN R,2.08,0.0%,41.67%,33.33%,16.67%,8.33%,1
,VERNON T,2.44,25.395%,36.505%,9.125%,14.285%,14.68%,2
,WINSTON V,2.14,18.9157142857%,32.1457142857%,13.4128571429%,14.7514285714%,20.7742857143%,7
,,,,,,,
ELIR-200,,,,,,,
,CHICK N,1.8,8.89%,26.6666666667%,24.4433333333%,15.5566666667%,24.4433333333%,3
,HARPER K,2.82,23.335%,51.665%,16.665%,0.0%,8.335%,2
,MANSON P,2.2,2.275%,41.475%,32.955%,20.17%,3.125%,2
,MCINTYRE C,2.57,4.76%,47.62%,47.62%,0.0%,0.0%,1
,VACHTSEVANOU S,2.74,27.4066666667%,41.48%,14.5066666667%,10.8033333333%,5.80333333333%,3
,VERNON T,2.63,20.186%,48.49%,14.014%,9.056%,8.256%,5
,WINSTON V,2.44,28.01%,29.18%,15.89%,11.54%,15.385%,2
,YOUNG L,2.43,0.0%,57.14%,35.71%,0.0%,7.14%,1
,,,,,,,
ELIR-250,,,,,,,
,COOPER B,2.14,8.335%,38.885%,25.0%,13.89%,13.89%,2
,PETERS R,2.88,36.605%,29.085%,28.43%,2.94%,2.94%,2
,RAGUCCI S,3.0,16.67%,75.0%,0.0%,8.33%,0.0%,1
,VACHTSEVANOU S,3.08,30.77%,61.54%,0.0%,0.0%,7.69%,1
,VERNON T,2.81,26.24%,45.735%,17.3625%,3.97%,6.69%,4
,WINSTON V,3.33,44.44%,44.44%,11.11%,0.0%,0.0%,1
,YOUNG L,2.39,8.335%,47.225%,25.0%,13.89%,5.555%,2
,,,,,,,
ELIR-300,,,,,,,
,CARRUTHERS S,2.21,8.95571428571%,45.1914285714%,18.6614285714%,11.9814285714%,15.2085714286%,7
,DZIUBINSKI I,2.52,10.252%,61.752%,10.616%,4.738%,12.642%,5
,FLACY K,2.18,18.18%,36.36%,18.18%,0.0%,27.27%,1
,PAYNE G,2.63,37.5%,25.0%,12.5%,12.5%,12.5%,1
,PETERS R,2.46,19.615%,47.125%,7.175%,11.72%,14.355%,2
