Course,Professor,GPA,% of A's,% of B's,% of C's,% of D's,% of F's,N
,ADAMS G,3.32,41.67%,48.96%,9.38%,0.0%,0.0%,1
,LIEBSCH J,3.27,49.64%,33.12%,13.3%,3.94%,0.0%,2
,GARCIA O,3.39,60.4666666667%,27.91%,6.73666666667%,0.63%,4.25666666667%,3
,MARRS C,3.92,92.31%,7.69%,0.0%,0.0%,0.0%,1
,STEINBERGER D,3.73,76.4%,20.22%,3.37%,0.0%,0.0%,1
,MURTY J,3.63,68.07%,26.285%,5.645%,0.0%,0.0%,2
,HAYNIE D,3.32,40.48%,52.0066666667%,7.12333333333%,0.0%,0.386666666667%,3
,,,,,,,
NVSC-303,,,,,,,
,KRAUS J,3.68,68.0%,32.0%,0.0%,0.0%,0.0%,1
,,,,,,,
NVSC-320,,,,,,,
,TENNIS M,3.46,53.85%,38.46%,7.69%,0.0%,0.0%,1
,TRASK D,3.63,68.75%,25.0%,6.25%,0.0%,0.0%,1
,,,,,,,
NVSC-401,,,,,,,
,TENNIS M,3.5,58.33%,33.33%,8.33%,0.0%,0.0%,1
,RONEY F,3.81,80.95%,19.05%,0.0%,0.0%,0.0%,1
,TRASK D,3.71,72.82%,27.18%,0.0%,0.0%,0.0%,2
,,,,,,,
NVSC-402,,,,,,,
,BRIGHT J,3.67,68.75%,29.17%,2.08%,0.0%,0.0%,1
,TIMONEY P,3.54,56.46%,40.9066666667%,2.63%,0.0%,0.0%,3
,,,,,,,
NVSC-404,,,,,,,
,SCHMIDT M,3.67,71.11%,25.555%,3.335%,0.0%,0.0%,2
,KRAUS J,3.68,75.0%,17.86%,7.14%,0.0%,0.0%,1
,,,,,,,
NVSC-410,,,,,,,
,CASEY C,3.65,70.0%,25.0%,5.0%,0.0%,0.0%,1
,MORGAN J,3.22,36.06%,50.16%,13.78%,0.0%,0.0%,2
,,,,,,,
NVSC-485,,,,,,,
,LIEBSCH J,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,2
,GARCIA O,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,2
,KRAUS J,3.8,95.0%,0.0%,0.0%,0.0%,5.0%,2
,GENETTI A,3.85,85.16%,14.84%,0.0%,0.0%,0.0%,3
,MUELLER M,3.67,66.67%,33.33%,0.0%,0.0%,0.0%,1
,CANTRELL D,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,,,,,,,
SOMS-111,,,,,,,
,CONNOLLY A,3.65,79.55%,13.64%,2.27%,0.0%,4.55%,1
,POWELL L,3.58,70.97%,19.35%,6.45%,3.23%,0.0%,1
,VELA C,3.34,72.1533333333%,8.78166666667%,6.43833333333%,7.09%,5.535%,6
,SIMPSON M,3.72,83.54%,10.972%,2.366%,0.296%,2.824%,5
,KOGUT R,3.34,67.9%,14.7633333333%,9.45%,0.0%,7.88666666667%,3
,,,,,,,
SOMS-180,,,,,,,
,STARNES G,3.85,86.6866666667%,12.2733333333%,1.04333333333%,0.0%,0.0%,3
,MATTE J,3.95,94.77%,5.23%,0.0%,0.0%,0.0%,3
,WHITAKER B,3.83,86.77%,11.52%,0.0%,1.07666666667%,0.633333333333%,3
,NORRIS D,3.85,87.1666666667%,11.5116666667%,0.816666666667%,0.0%,0.505%,6
,PARKER C,3.96,96.69%,2.205%,1.1025%,0.0%,0.0%,4
,PARKS L,3.99,98.915%,1.085%,0.0%,0.0%,0.0%,2
,DULKE M,3.4,56.82%,32.8025%,6.4775%,1.015%,2.8875%,4
,BRUMMETT K,3.81,80.65%,19.35%,0.0%,0.0%,0.0%,1
,IVEY C,3.85,89.26%,9.7%,0.0%,0.0%,1.04%,2
,HAWES S,3.96,98.33%,0.8075%,0.0%,0.0%,0.8625%,4
,HOFFMAN J,3.91,93.885%,2.995%,3.125%,0.0%,0.0%,2
,BYRNE W,3.92,91.69%,8.31%,0.0%,0.0%,0.0%,3
,FELTS T,3.85,84.62%,15.38%,0.0%,0.0%,0.0%,1
,,,,,,,
SOMS-280,,,,,,,
,MOSER J,3.59,63.29%,31.65%,5.06%,0.0%,0.0%,1
,HAUFFE F,3.83,84.1333333333%,14.1133333333%,1.75333333333%,0.0%,0.0%,3
,CASSLE D,3.82,86.57%,10.45%,1.49%,0.75%,0.75%,1
,GARDNER J,3.8,84.3225%,13.405%,2.2725%,0.0%,0.0%,4
,HASSMAN D,3.43,60.6025%,28.715%,6.955%,1.3825%,2.345%,4
,BROWN T,3.68,73.87%,20.385%,5.32%,0.425%,0.0%,2
,SCHLATHER B,3.9,89.47%,10.53%,0.0%,0.0%,0.0%,1
,FELTS T,3.58,61.3075%,36.28%,2.045%,0.2475%,0.1225%,4
,,,,,,,
SOMS-380,,,,,,,
,SIMPSON L,2.45,9.09%,36.36%,45.45%,9.09%,0.0%,1
,SCOGGINS J,3.49,61.955%,25.36%,12.685%,0.0%,0.0%,2
,PRESTON T,3.48,61.9833333333%,26.3333333333%,10.2933333333%,0.0%,1.39%,3
,OTHOLD L,3.5,66.67%,25.0%,0.0%,8.33%,0.0%,1
,DAWSON S,3.75,75.0%,25.0%,0.0%,0.0%,0.0%,1
,ARMSTRONG A,3.59,71.88%,15.63%,12.5%,0.0%,0.0%,1
,MORRIS S,3.42,66.67%,16.67%,8.33%,8.33%,0.0%,1
,FRYSINGER V,3.6,68.73%,24.0866666667%,5.71666666667%,0.776666666667%,0.693333333333%,3
,IVEY C,3.77,78.95%,19.3%,0.0%,1.75%,0.0%,1
,WENTLING D,3.88,90.1966666667%,9.16%,0.0%,0.0%,0.64%,3
,CRAWFORD K,3.46,75.0%,10.71%,3.57%,7.14%,3.57%,1
,POWERS T,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,POWELL L,3.79,88.24%,5.88%,3.92%,1.96%,0.0%,1
,SHEHANE M,3.58,73.9566666667%,15.1266666667%,6.26666666667%,4.03333333333%,0.616666666667%,3
,MCCLURE M,3.25,54.945%,26.345%,10.545%,5.275%,2.885%,2
,STURTEVANT K,3.31,53.85%,30.77%,11.54%,0.0%,3.85%,1
,KALLINA S,3.56,70.37%,14.81%,14.81%,0.0%,0.0%,1
,,,,,,,
SOMS-381,,,,,,,
,MARTINEZ R,3.39,63.505%,11.93%,24.56%,0.0%,0.0%,2
,HOWELL A,3.29,52.38%,38.1%,0.0%,4.76%,4.76%,1
,MCCLURE M,3.39,64.16%,19.405%,8.045%,8.39%,0.0%,2
,DAWSON S,3.87,86.67%,13.33%,0.0%,0.0%,0.0%,1
,ALTENHOFEN B,3.71,70.0%,30.0%,0.0%,0.0%,0.0%,1
,OTHOLD L,3.29,50.0%,29.17%,20.83%,0.0%,0.0%,1
,ARMSTRONG A,3.64,81.82%,4.55%,9.09%,4.55%,0.0%,1
,SULLINS A,3.8,82.22%,15.56%,2.22%,0.0%,0.0%,1
,MORRIS S,3.26,63.16%,21.05%,5.26%,0.0%,10.53%,1
,PRESTON T,3.76,78.01%,20.3233333333%,1.66666666667%,0.0%,0.0%,3
,IVEY C,3.88,87.5%,12.5%,0.0%,0.0%,0.0%,1
,WENTLING D,3.69,78.74%,15.22%,2.1275%,3.4025%,0.51%,4
,CRAWFORD K,3.51,73.77%,13.525%,6.95%,1.02%,4.725%,2
,POWERS T,3.84,92.59%,3.70333333333%,1.84%,0.0%,1.86333333333%,3
,BROWN T,3.93,93.335%,6.665%,0.0%,0.0%,0.0%,2
,SHEHANE M,3.69,84.715%,5.01%,6.325%,2.63%,1.315%,2
,SCOGGINS J,3.63,77.9966666667%,10.47%,9.31%,0.0%,2.22333333333%,3
,STURTEVANT K,3.26,60.87%,21.74%,4.35%,8.7%,4.35%,1
,KALLINA S,3.68,72.73%,22.73%,4.55%,0.0%,0.0%,1
,FRYSINGER V,3.65,69.6833333333%,26.3133333333%,3.22666666667%,0.776666666667%,0.0%,3
,LAPORTE C,2.7,20.0%,50.0%,10.0%,20.0%,0.0%,1
