Course,Professor,GPA,% of A's,% of B's,% of C's,% of D's,% of F's,N
,BLAKE J,3.97,97.22%,2.78%,0.0%,0.0%,0.0%,1
,,,,,,,
CPSY-612,,,,,,,
,MCCORMICK A,3.99,99.0466666667%,0.953333333333%,0.0%,0.0%,0.0%,3
,,,,,,,
CPSY-626,,,,,,,
,ELLIOTT T,3.76,76.25%,23.75%,0.0%,0.0%,0.0%,2
,,,,,,,
CPSY-630,,,,,,,
,FOURNIER C,3.94,93.94%,6.06%,0.0%,0.0%,0.0%,1
,OJEDA L,3.49,56.13%,38.155%,4.33%,1.39%,0.0%,2
,,,,,,,
CPSY-631,,,,,,,
,BROSSART D,3.67,66.665%,33.335%,0.0%,0.0%,0.0%,2
,,,,,,,
CPSY-632,,,,,,,
,OJEDA L,3.89,88.89%,11.11%,0.0%,0.0%,0.0%,2
,,,,,,,
CPSY-633,,,,,,,
,MADKINS J,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,OJEDA L,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,,,,,,,
CPSY-635,,,,,,,
,ELLIOTT T,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,2
,,,,,,,
CPSY-636,,,,,,,
,RIDLEY C,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,3
,,,,,,,
CPSY-639,,,,,,,
,CASTILLO L,3.95,94.56%,5.44%,0.0%,0.0%,0.0%,2
,,,,,,,
CPSY-662,,,,,,,
,RIDLEY C,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,4
,,,,,,,
CPSY-666,,,,,,,
,CASTILLO L,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,OJEDA L,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,,,,,,,
CPSY-672,,,,,,,
,RIDLEY C,3.82,81.6666666667%,18.3333333333%,0.0%,0.0%,0.0%,3
,,,,,,,
CPSY-673,,,,,,,
,RIDLEY C,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,,,,,,,
CPSY-676,,,,,,,
,FOURNIER C,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,2
,,,,,,,
CPSY-679,,,,,,,
,OJEDA L,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,RIDLEY C,3.93,92.8033333333%,7.19666666667%,0.0%,0.0%,0.0%,3
,,,,,,,
CPSY-683,,,,,,,
,BROSSART D,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,4
,CASTILLO L,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,2
