Course,Professor,GPA,% of A's,% of B's,% of C's,% of D's,% of F's,N
ARCH-205,,,,,,,
,LEE S,3.07,21.43%,64.29%,14.29%,0.0%,0.0%,1
,CLAYTON M,3.43,55.805%,31.25%,12.945%,0.0%,0.0%,2
,LU Z,3.58,71.115%,19.445%,6.115%,3.335%,0.0%,2
,ESQUIVEL J,3.47,57.64%,31.6666666667%,10.6933333333%,0.0%,0.0%,3
,ABBOTT E,3.49,57.4066666667%,34.0733333333%,8.52%,0.0%,0.0%,3
,RODIEK S,3.94,94.44%,5.56%,0.0%,0.0%,0.0%,1
,HOLLIDAY R,3.53,61.11%,30.555%,8.335%,0.0%,0.0%,2
,TABB P,3.38,38.46%,61.54%,0.0%,0.0%,0.0%,1
,HE W,2.88,37.5%,25.0%,31.25%,0.0%,6.25%,1
,,,,,,,
ARCH-206,,,,,,,
,ALI A,3.14,28.57%,57.14%,14.29%,0.0%,0.0%,1
,LEE S,3.19,29.23%,60.77%,10.0%,0.0%,0.0%,2
,CLAYTON M,3.23,30.77%,61.54%,7.69%,0.0%,0.0%,1
,MAFFEI G,3.35,35.29%,64.71%,0.0%,0.0%,0.0%,1
,ESQUIVEL J,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,2
,ABBOTT E,3.53,58.82%,35.29%,5.88%,0.0%,0.0%,1
,RODIEK S,3.96,95.8333333333%,4.16666666667%,0.0%,0.0%,0.0%,3
,HALIBURTON J,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,GRAHAM R,3.13,37.5%,43.75%,12.5%,6.25%,0.0%,1
,HOLLIDAY R,3.64,66.0366666667%,31.5833333333%,2.38%,0.0%,0.0%,3
,TABB P,3.69,68.75%,31.25%,0.0%,0.0%,0.0%,1
,HE W,3.18,27.27%,63.64%,9.09%,0.0%,0.0%,1
,LU Z,3.67,74.52%,17.79%,7.69%,0.0%,0.0%,2
,,,,,,,
ARCH-207,,,,,,,
,ESQUIVEL J,3.85,92.585%,0.0%,7.415%,0.0%,0.0%,2
,CLAYTON M,3.82,82.35%,17.65%,0.0%,0.0%,0.0%,2
,,,,,,,
ARCH-212,,,,,,,
,ZHU X,3.26,39.306%,48.85%,9.444%,0.978%,1.422%,5
,,,,,,,
ARCH-213,,,,,,,
,TABB P,3.16,37.3833333333%,43.5333333333%,18.2666666667%,0.41%,0.4%,3
,,,,,,,
ARCH-216,,,,,,,
,LU Z,3.74,83.555%,11.04%,2.705%,1.35%,1.35%,2
,,,,,,,
ARCH-248,,,,,,,
,KLEIN N,3.06,24.59%,54.1%,16.39%,3.28%,1.64%,1
,,,,,,,
ARCH-249,,,,,,,
,CAFFEY S,3.58,70.388%,19.72%,7.614%,2.048%,0.234%,5
,KLEIN N,3.37,58.14%,25.58%,13.95%,0.0%,2.33%,1
,GLOWACKI K,2.96,25.0371428571%,42.5728571429%,23.6185714286%,6.72%,2.05428571429%,7
,,,,,,,
ARCH-250,,,,,,,
,KLEIN N,3.3,47.0366666667%,37.0333333333%,13.8916666667%,1.55%,0.49%,6
,CAMPAGNOL G,3.35,50.7571428571%,36.7742857143%,10.09%,1.80571428571%,0.572857142857%,7
,,,,,,,
ARCH-305,,,,,,,
,DEYONG S,3.65,75.43%,18.0433333333%,4.44333333333%,0.0%,2.08333333333%,3
,CATAO C,3.71,71.43%,28.57%,0.0%,0.0%,0.0%,1
,MAFFEI G,3.46,46.15%,53.85%,0.0%,0.0%,0.0%,1
,BABE J,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,4
,HALIBURTON J,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,2
,GIBBS B,3.38,39.005%,59.525%,1.47%,0.0%,0.0%,4
,ODOM J,3.57,64.29%,28.57%,7.14%,0.0%,0.0%,1
,,,,,,,
ARCH-317,,,,,,,
,ESQUIVEL J,3.44,61.11%,22.22%,16.67%,0.0%,0.0%,1
,,,,,,,
ARCH-327,,,,,,,
,HOLLIDAY S,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,3
,,,,,,,
ARCH-328,,,,,,,
,OBRIEN M,3.6,68.1366666667%,23.2033333333%,8.66%,0.0%,0.0%,3
