Course,Professor,GPA,% of A's,% of B's,% of C's,% of D's,% of F's,N
AERO-101,,,,,,,
,KINRA V,3.93,96.1%,1.3%,2.6%,0.0%,0.0%,1
,TURNER J,3.84,82.35%,11.76%,5.88%,0.0%,0.0%,1
,CHAMITOFF G,3.84,84.85%,12.12%,3.03%,0.0%,0.0%,1
,,,,,,,
AERO-201,,,,,,,
,VADALI S,2.68,16.98%,43.4%,24.53%,9.43%,5.66%,1
,SHRYOCK K,2.89,17.3433333333%,50.0866666667%,25.9466666667%,6.09666666667%,0.53%,3
,NARAGHI M,2.83,18.815%,53.315%,21.625%,4.69%,1.565%,2
,RICHARD J,3.07,32.56%,51.16%,11.63%,0.0%,4.65%,1
,STRGANAC T,3.16,32.24%,47.9333333333%,16.5866666667%,1.83333333333%,1.40666666667%,3
,,,,,,,
AERO-209,,,,,,,
,KINRA V,2.6,20.0%,30.0%,42.5%,5.0%,2.5%,1
,SHRYOCK K,2.75,22.37%,42.11%,25.0%,9.21%,1.32%,1
,POULAIN X,2.72,13.04%,54.35%,26.09%,4.35%,2.17%,1
,,,,,,,
AERO-210,,,,,,,
,VADALI S,2.68,18.92%,39.19%,33.78%,6.76%,1.35%,1
,POLLOCK T,2.72,15.9228571429%,44.6585714286%,33.31%,5.20857142857%,0.898571428571%,7
,BOYD J,2.65,20.0%,33.85%,36.92%,9.23%,0.0%,1
,,,,,,,
AERO-212,,,,,,,
,ELLIS D,2.35,3.85%,50.0%,26.92%,15.38%,3.85%,1
,KARPETIS A,3.06,28.99%,47.83%,23.19%,0.0%,0.0%,1
,BOYD J,2.59,19.99%,32.8433333333%,36.2633333333%,8.02666666667%,2.87333333333%,3
,REDINIOTIS O,2.93,24.89%,48.355%,22.5575%,3.5325%,0.665%,4
,,,,,,,
AERO-213,,,,,,,
,TALREJA R,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,BOYD J,2.69,20.3066666667%,37.6166666667%,33.5533333333%,7.64666666667%,0.876666666667%,3
,,,,,,,
AERO-214,,,,,,,
