Course,Professor,GPA,% of A's,% of B's,% of C's,% of D's,% of F's,N
BIMS-101,,,,,,,
,HERMAN J,3.9,93.64%,2.73%,3.64%,0.0%,0.0%,1
,HEAPS C,3.87,96.67%,0.0%,0.0%,0.0%,3.33%,1
,LANDIS F,3.84,87.4066666667%,10.1%,2.0%,0.0%,0.493333333333%,3
,HUEBNER H,3.84,87.575%,10.2325%,1.34%,0.0%,0.855%,4
,ROBLES J,3.9,91.2466666667%,7.46%,1.29%,0.0%,0.0%,3
,KINCAID D,3.96,95.5%,4.5%,0.0%,0.0%,0.0%,1
,IVANOV I,3.9,90.975%,8.195%,0.415%,0.205%,0.205%,2
,,,,,,,
BIMS-110,,,,,,,
,GOLDING M,3.75,82.61%,13.04%,1.74%,1.74%,0.87%,1
,YOUNG C,3.74,82.255%,13.15%,1.94%,1.39%,1.265%,2
,,,,,,,
BIMS-201,,,,,,,
,CROUCH E,3.79,78.995%,21.01%,0.0%,0.0%,0.0%,2
,,,,,,,
BIMS-289,,,,,,,
,GOLDING M,3.74,80.04%,16.67%,1.095%,1.755%,0.44%,2
,YOUNG C,3.83,86.44%,10.17%,3.39%,0.0%,0.0%,1
,CROUCH E,3.65,72.265%,22.5%,3.45%,1.785%,0.0%,2
,,,,,,,
BIMS-320,,,,,,,
,RAUDSEPP T,3.51,64.44%,26.67%,4.44%,4.44%,0.0%,1
,SEABURY C,3.81,81.6%,17.315%,1.0875%,0.0%,0.0%,4
,MURPHY W,3.29,40.48%,47.62%,11.9%,0.0%,0.0%,1
,BERGTHORSSON U,3.36,56.0%,24.0%,20.0%,0.0%,0.0%,1
,DINDOT S,3.45,53.8533333333%,38.7%,6.69%,0.0%,0.756666666667%,3
,COTHRAN E,3.16,42.0175%,39.4725%,12.57%,4.8425%,1.095%,4
,SKOW L,3.84,84.26%,15.74%,0.0%,0.0%,0.0%,3
,SAMOLLOW P,3.43,55.1566666667%,35.17%,7.30333333333%,2.37%,0.0%,3
,DERR J,3.03,22.305%,58.8475%,18.24%,0.61%,0.0%,4
,,,,,,,
BIMS-405,,,,,,,
,WOMACK J,3.34,44.7033333333%,44.2833333333%,11.0133333333%,0.0%,0.0%,3
,,,,,,,
