Course,Professor,GPA,% of A's,% of B's,% of C's,% of D's,% of F's,N
,FIELDS L,3.25,45.1025%,39.1725%,12.6075%,1.515%,1.6%,4
,GORE A,3.3,42.575%,47.49%,7.595%,2.0025%,0.3375%,4
,HOFFMEISTER K,2.96,28.0033333333%,44.4233333333%,24.5166666667%,1.30333333333%,1.75333333333%,3
,KETRON C,3.9,90.01%,9.99%,0.0%,0.0%,0.0%,2
,KRUSELL K,3.38,59.785%,22.88%,14.63%,1.35%,1.35%,2
,LAUGHLIN T,3.49,63.434%,26.284%,7.636%,1.194%,1.454%,5
,LEE I,2.62,24.14%,31.03%,34.48%,3.45%,6.9%,1
,LITTLEFIELD J,2.95,27.9%,49.495%,15.15%,4.355%,3.095%,2
,LYNCH D,3.61,70.1766666667%,22.3916666667%,6.26666666667%,0.93%,0.238333333333%,6
,LYNCH J,3.0,36.5766666667%,36.46%,19.5966666667%,5.14333333333%,2.22666666667%,3
,MATHENY R,2.94,40.385%,32.905%,16.025%,1.28%,9.4%,2
,MELIA-TEEVAN K,3.48,60.0%,30.0%,7.5%,2.5%,0.0%,1
,MIRACLE J,2.51,13.89%,44.445%,27.78%,6.945%,6.945%,2
,MUELLER M,3.47,61.715%,26.535%,9.295%,1.72%,0.7325%,4
,OIS S,3.25,53.01%,30.12%,7.23%,8.43%,1.2%,1
,PEPPER K,3.65,69.105%,28.33%,1.97%,0.0%,0.595%,2
,PUCKETT N,3.05,25.0%,60.0%,12.5%,0.0%,2.5%,1
,RATERMAN J,3.53,66.38%,21.48%,10.415%,1.725%,0.0%,2
,RIGGS C,3.46,54.0%,39.0%,6.0%,1.0%,0.0%,2
,ROSE K,2.98,28.57%,45.24%,22.62%,2.38%,1.19%,1
,RUFF D,3.2,35.0%,50.0%,15.0%,0.0%,0.0%,1
,SCHWINDINGER P,3.21,43.59%,38.46%,15.38%,0.0%,2.56%,1
,SMITH M,3.67,70.37%,25.93%,3.7%,0.0%,0.0%,1
,SONDERMAN E,2.75,22.215%,45.14%,21.38%,7.855%,3.41%,2
,STAFF B,3.1,35.0%,50.0%,10.0%,0.0%,5.0%,1
,THOMS A,2.85,18.625%,51.71%,26.855%,1.805%,1.0%,2
,TORRES R,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,2
,TSAI G,2.92,31.214%,39.71%,20.622%,6.974%,1.478%,5
,TUNE J,3.68,69.7%,28.28%,2.02%,0.0%,0.0%,1
,VIEIRA D,3.12,28.735%,56.7525%,13.775%,0.3875%,0.3475%,4
,WHITE L,3.25,47.06%,38.82%,8.24%,3.53%,2.35%,1
,WILLIS S,3.2,45.1%,33.33%,17.65%,3.92%,0.0%,1
,WINKING J,2.88,23.2166666667%,48.7766666667%,22.6533333333%,0.973333333333%,4.37666666667%,3
,ZHONG S,3.54,61.54%,30.77%,7.69%,0.0%,0.0%,1
,,,,,,,
ANTH-210,,,,,,,
,ALVARD M,2.66,16.98%,39.62%,37.74%,3.77%,1.89%,1
,BABERS M,2.83,19.135%,49.37%,28.045%,2.3%,1.15%,2
,CASTOR N,2.67,19.555%,44.3325%,26.4875%,6.0375%,3.5875%,4
,DOZIER C,3.01,33.845%,44.185%,14.1%,4.61%,3.26%,2
,DU B,2.43,14.39%,34.04%,36.42%,10.895%,4.255%,2
,HOPKINS A,3.47,61.76%,26.47%,8.82%,2.94%,0.0%,1
,WHITE L,3.0,35.42%,43.75%,10.42%,6.25%,4.17%,1
,WINKING J,2.7,18.7166666667%,44.5166666667%,27.76%,5.69%,3.32%,3
,ZHONG S,2.87,25.0%,44.565%,25.0%,3.26%,2.175%,2
,,,,,,,
ANTH-225,,,,,,,
,ATHREYA S,2.53,21.64%,27.095%,40.945%,9.405%,0.91%,2
,BAILEY K,3.03,32.26%,41.94%,22.58%,3.23%,0.0%,1
,DE R,2.52,14.8%,38.21%,34.765%,8.61%,3.615%,2
,GURSKY-DOYEN S,2.4,19.8183333333%,27.8833333333%,32.9466666667%,11.4516666667%,7.90333333333%,6
,,,,,,,
ANTH-226,,,,,,,
,BERGSTROM K,3.47,52.94%,41.18%,5.88%,0.0%,0.0%,1
,CANTERBURY J,3.41,53.335%,35.0%,11.665%,0.0%,0.0%,2
,GREENFELDER M,3.0,25.0%,50.0%,25.0%,0.0%,0.0%,1
,GURSKY-DOYEN S,2.6,20.0%,40.0%,26.67%,6.67%,6.67%,1
,,,,,,,
ANTH-229,,,,,,,
,GREEN T,2.64,15.3483333333%,43.13%,31.91%,8.97%,0.641666666667%,6
,,,,,,,
ANTH-300,,,,,,,
,DANNHAEUSER N,2.45,19.775%,32.88%,30.18%,7.07%,10.09%,2
,LYNCH D,3.71,80.95%,14.29%,0.0%,4.76%,0.0%,1
,,,,,,,
ANTH-301,,,,,,,
,THOMS A,2.35,10.1133333333%,35.4533333333%,39.1066666667%,9.73%,5.6%,3
,,,,,,,
ANTH-302,,,,,,,
,GRAF K,3.26,47.37%,42.11%,5.26%,0.0%,5.26%,1
,,,,,,,
ANTH-303,,,,,,,
,ECKERT S,3.45,60.0%,35.0%,0.0%,0.0%,5.0%,1
,,,,,,,
ANTH-305,,,,,,,
,HODGES S,3.58,63.16%,31.58%,5.26%,0.0%,0.0%,1
,KRUSELL K,3.0,50.0%,33.33%,0.0%,0.0%,16.67%,1
,KRZTON A,2.9,30.0%,45.0%,15.0%,5.0%,5.0%,1
,MIRACLE J,3.0,12.5%,75.0%,12.5%,0.0%,0.0%,1
,MOODY B,3.57,66.67%,23.81%,9.52%,0.0%,0.0%,1
,STAFF B,3.67,66.67%,33.33%,0.0%,0.0%,0.0%,1
,,,,,,,
ANTH-312,,,,,,,
,CARLSON K,2.81,25.49%,49.41%,12.545%,5.88%,6.665%,2
,DE R,2.69,25.0%,36.54%,26.925%,5.77%,5.77%,2
,,,,,,,
ANTH-313,,,,,,,
,DOSTAL C,3.0,34.38%,43.75%,12.5%,6.25%,3.13%,1
,HAMILTON D,2.83,16.6433333333%,57.96%,19.2066666667%,3.71333333333%,2.47333333333%,3
,,,,,,,
ANTH-314,,,,,,,
,DANNHAEUSER N,2.8,30.0%,30.0%,30.0%,10.0%,0.0%,1
,,,,,,,
ANTH-316,,,,,,,
,CARLSON D,3.13,28.85%,55.77%,14.42%,0.96%,0.0%,1
,CASABAN B,2.99,28.3333333333%,47.4666666667%,19.3833333333%,4.81333333333%,0.0%,3
,PULAK C,3.08,32.92%,47.995%,14.185%,3.845%,1.065%,2
,SMITH C,3.3,48.684%,36.546%,11.19%,2.876%,0.7%,5
,,,,,,,
ANTH-317,,,,,,,
,WACHSMANN S,3.11,36.2066666667%,33.7233333333%,20.82%,5.39666666667%,3.84666666667%,3
,,,,,,,
ANTH-318,,,,,,,
,CRISMAN K,2.77,29.41%,47.06%,5.88%,5.88%,11.76%,1
,,,,,,,
ANTH-323,,,,,,,
,PULAK C,3.29,51.3575%,29.3525%,16.405%,2.885%,0.0%,4
,,,,,,,
ANTH-324,,,,,,,
,BEASTER-JONES J,2.69,18.75%,40.63%,31.25%,9.38%,0.0%,1
,BUSTOS I,2.98,21.88%,64.06%,9.38%,0.0%,4.69%,1
,CARDOSO D,3.14,41.455%,36.2775%,18.485%,2.38%,1.4025%,4
,GARIAZZO M,2.81,27.695%,34.2%,30.14%,7.185%,0.78%,2
,KATTARI K,3.59,63.87%,31.29%,4.84%,0.0%,0.0%,2
,MCMANUS E,2.4,15.9333333333%,36.64%,27.25%,12.5933333333%,7.58333333333%,3
,PUTCHA R,3.52,59.81%,32.325%,7.865%,0.0%,0.0%,2
,ROLLINS I,3.48,59.58%,31.37%,7.835%,0.405%,0.815%,2
,,,,,,,
ANTH-330,,,,,,,
,CRISMAN K,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,GOEBEL F,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,GRAF K,3.36,67.7766666667%,13.3333333333%,12.2233333333%,0.0%,6.66666666667%,3
,,,,,,,
ANTH-335,,,,,,,
,WERNER C,3.0,41.18%,41.18%,5.88%,0.0%,11.76%,1
,,,,,,,
ANTH-340,,,,,,,
,GREEN T,2.85,30.6128571429%,30.6314285714%,32.7742857143%,5.22571428571%,0.751428571429%,7
,,,,,,,
ANTH-353,,,,,,,
,CARLSON D,2.74,29.675%,29.515%,31.075%,4.89%,4.84%,2
,,,,,,,
ANTH-354,,,,,,,
,CARLSON D,3.29,46.785%,39.645%,10.715%,1.43%,1.43%,2
,,,,,,,
ANTH-360,,,,,,,
,CARLSON D,3.38,56.3866666667%,30.6%,10.2333333333%,0.0%,2.78333333333%,3
,,,,,,,
ANTH-401,,,,,,,
,WATERS M,3.58,65.0%,27.855%,7.145%,0.0%,0.0%,2
,,,,,,,
ANTH-402,,,,,,,
,HAMILTON D,2.96,28.335%,49.165%,17.5%,0.0%,5.0%,2
,,,,,,,
ANTH-403,,,,,,,
,DICKSON D,3.08,25.0%,58.33%,16.67%,0.0%,0.0%,1
,LYNCH D,3.62,61.54%,38.46%,0.0%,0.0%,0.0%,1
,,,,,,,
ANTH-409,,,,,,,
,DE R,2.81,39.78%,27.11%,18.78%,2.78%,11.555%,2
,,,,,,,
ANTH-410,,,,,,,
,DANNHAEUSER N,2.75,22.0766666667%,33.2833333333%,43.4533333333%,0.0%,1.19%,3
,LAPORTE C,3.18,44.51%,36.545%,14.215%,1.615%,3.125%,2
,,,,,,,
ANTH-412,,,,,,,
,ECKERT S,3.08,48.485%,25.755%,14.545%,7.88%,3.335%,2
,GOEBEL F,3.04,44.565%,36.23%,8.515%,0.0%,10.685%,2
,,,,,,,
ANTH-415,,,,,,,
,BLONG J,2.75,41.67%,25.0%,16.67%,0.0%,16.67%,1
,KRUSELL K,3.63,87.5%,0.0%,6.25%,0.0%,6.25%,1
,LAPORTE C,2.77,27.27%,50.0%,4.55%,9.09%,9.09%,1
,MIZER N,3.58,78.95%,10.53%,5.26%,0.0%,5.26%,1
,MOODY B,3.56,65.22%,26.09%,8.7%,0.0%,0.0%,1
,PEPPER K,3.31,38.46%,53.85%,7.69%,0.0%,0.0%,1
,WHITE L,3.24,42.86%,42.86%,9.52%,4.76%,0.0%,1
,WILLIS S,2.69,15.38%,69.23%,0.0%,0.0%,15.38%,1
,,,,,,,
ANTH-418,,,,,,,
,VIEIRA D,3.15,43.18%,38.335%,10.155%,6.665%,1.665%,2
,,,,,,,
ANTH-423,,,,,,,
,JONES C,3.0,27.27%,54.55%,9.09%,9.09%,0.0%,1
,WRIGHT L,3.09,46.925%,28.72%,17.69%,0.0%,6.665%,2
,,,,,,,
ANTH-424,,,,,,,
,ALVARD M,2.89,33.33%,33.33%,22.22%,11.11%,0.0%,1
,,,,,,,
ANTH-425,,,,,,,
,JONES C,3.0,16.67%,72.22%,5.56%,5.56%,0.0%,1
,WRIGHT L,2.99,35.67%,33.31%,25.7866666667%,5.23166666667%,0.0%,6
,,,,,,,
ANTH-426,,,,,,,
,DU B,3.3,40.0%,50.0%,10.0%,0.0%,0.0%,1
,,,,,,,
ANTH-427,,,,,,,
