Course,Professor,GPA,% of A's,% of B's,% of C's,% of D's,% of F's,N
,,,,,,,
ECON-637,,,,,,,
,ZERVOU A,3.89,88.89%,11.11%,0.0%,0.0%,0.0%,3
,,,,,,,
ECON-646,,,,,,,
,JANSEN D,3.27,47.06%,38.235%,11.765%,0.0%,2.94%,2
,JINNAI R,3.53,64.705%,23.53%,11.765%,0.0%,0.0%,2
,,,,,,,
ECON-649,,,,,,,
,LUCO E,3.91,90.91%,9.09%,0.0%,0.0%,0.0%,1
,PULLER S,3.54,54.165%,45.835%,0.0%,0.0%,0.0%,2
,,,,,,,
ECON-650,,,,,,,
,LUCO E,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,PULLER S,3.86,85.715%,14.285%,0.0%,0.0%,0.0%,2
,,,,,,,
ECON-655,,,,,,,
,BROWN A,3.86,85.9266666667%,14.0733333333%,0.0%,0.0%,0.0%,3
,,,,,,,
ECON-659,,,,,,,
,FRAGIADAKIS D,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,2
,VAN-HUYCK J,3.77,77.5%,22.5%,0.0%,0.0%,0.0%,2
,,,,,,,
ECON-675,,,,,,,
,GAN L,3.79,83.805%,13.695%,1.875%,0.0%,0.625%,2
,,,,,,,
ECON-680,,,,,,,
,JANSEN D,3.51,57.5%,36.25%,6.25%,0.0%,0.0%,1
,,,,,,,
ECON-684,,,,,,,
,GAN L,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,,,,,,,
ECON-685,,,,,,,
,ECKEL D,3.74,88.89%,7.41%,0.0%,0.0%,3.7%,1
,GAN L,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,6
,HOEKSTRA M,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,JANSEN D,3.6,60.0%,40.0%,0.0%,0.0%,0.0%,1
,LI Q,3.84,87.5%,9.375%,3.125%,0.0%,0.0%,2
,TIAN G,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,2
,XU K,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,,,,,,,
ECON-689,,,,,,,
,BROWN A,3.56,58.035%,39.575%,2.39%,0.0%,0.0%,2
,ECKEL C,3.83,83.3333333333%,16.6666666667%,0.0%,0.0%,0.0%,3
,EDEN L,3.63,69.32%,24.43%,6.25%,0.0%,0.0%,2
,GAN L,3.36,56.54%,24.615%,18.075%,0.0%,0.77%,2
,GLASS A,3.67,71.57%,23.825%,4.605%,0.0%,0.0%,2
,KRASTEVA S,3.37,48.57%,40.0%,11.43%,0.0%,0.0%,1
,MEYER J,3.6,62.24%,36.42%,0.725%,0.0%,0.615%,2
,SCHULMAN C,3.95,95.365%,3.99%,0.65%,0.0%,0.0%,2
,TIAN G,3.67,66.67%,33.33%,0.0%,0.0%,0.0%,2
,VARGHESE A,3.36,50.675%,37.46%,10.305%,0.0%,1.565%,2
,XU K,3.43,42.86%,57.14%,0.0%,0.0%,0.0%,1
,ZERVOU A,3.5,50.0%,50.0%,0.0%,0.0%,0.0%,1
,,,,,,,
ENGL-104,,,,,,,
,AHN H,3.51,57.735%,38.14%,2.04%,2.085%,0.0%,2
,AHN S,3.85,86.815%,11.145%,2.04%,0.0%,0.0%,2
,BARTZ E,3.39,55.72%,35.99%,4.165%,0.0%,4.125%,2
,BOSE S,3.38,40.26%,57.695%,2.04%,0.0%,0.0%,2
,BRENNER C,3.6,64.855%,32.145%,1.0%,2.0%,0.0%,2
,BUSTAMANTE C,3.49,61.915%,27.395%,9.63%,0.0%,1.065%,2
,CARDOSO D,3.64,74.9933333333%,20.1133333333%,2.14333333333%,0.0%,2.75333333333%,3
,CENEGY N,3.56,78.26%,13.04%,0.0%,4.35%,4.35%,1
,CHABOT B,3.82,91.84%,2.04%,4.08%,0.0%,2.04%,1
,CHUNG S,3.66,70.0%,26.0%,4.0%,0.0%,0.0%,1
,CLOUGH K,3.33,54.19%,26.285%,17.525%,2.0%,0.0%,2
,COOPER R,3.28,53.56%,31.125%,8.89%,2.405%,4.0175%,4
,COVINGTON A,3.58,64.29%,31.625%,2.085%,2.0%,0.0%,2
,DELHIERRO M,3.56,62.5%,31.25%,6.25%,0.0%,0.0%,1
,DUNAI A,3.29,45.83%,41.67%,8.33%,4.17%,0.0%,1
,DUNN E,3.15,48.94%,29.79%,10.64%,8.51%,2.13%,1
,DUPLESSIS N,2.59,19.625%,44.695%,19.38%,8.63%,7.675%,2
,EDENFIELD C,3.88,90.835%,8.165%,0.0%,0.0%,1.0%,2
,ELSTON M,3.44,56.52%,34.78%,4.35%,4.35%,0.0%,1
,FILBECK M,3.67,73.585%,20.25%,6.165%,0.0%,0.0%,2
,FISHER D,3.16,26.53%,69.39%,0.0%,2.04%,2.04%,1
,FOSTER A,2.89,21.28%,55.32%,17.02%,4.26%,2.13%,1
,GUTIERREZ K,3.21,43.7066666667%,46.37%,2.96%,1.33333333333%,5.63%,3
,HABBESTAD T,3.81,87.5%,10.42%,0.0%,0.0%,2.08%,1
,HAGSTROM-SCHMIDT N,3.2,42.575%,41.44%,10.685%,4.26%,1.04%,2
,HAN H,3.43,56.715%,31.93%,10.33%,0.0%,1.02%,2
,HANNAH J,2.8,15.2466666667%,54.78%,25.7366666667%,2.9%,1.33333333333%,3
,HARRIS J,3.1,30.61%,57.14%,8.16%,0.0%,4.08%,1
,HENEKS G,3.09,42.575%,36.23%,11.685%,6.25%,3.26%,2
,HWANG C,3.46,62.5%,20.83%,16.67%,0.0%,0.0%,1
,JUNG J,3.92,95.835%,0.0%,4.165%,0.0%,0.0%,2
,JUNG Y,3.33,51.66%,40.135%,2.04%,2.04%,4.125%,2
,KIM B,3.59,78.53%,13.93%,0.0%,3.195%,4.35%,2
,KIM S,3.63,67.4333333333%,29.0766666667%,2.78333333333%,0.71%,0.0%,3
,KINKEAD A,2.71,28.635%,39.205%,17.2%,5.645%,9.32%,2
,KNIGHT E,3.41,56.04%,33.625%,7.29%,1.04%,2.0%,2
,LOUTSENKO A,3.4,48.0%,44.0%,8.0%,0.0%,0.0%,1
,MELZOW C,3.46,70.83%,20.83%,0.0%,0.0%,8.33%,1
,MOHAMMED U,3.71,77.635%,18.195%,2.085%,2.085%,0.0%,2
,MUKHERJEE D,3.16,48.98%,30.61%,14.29%,0.0%,6.12%,1
,NAIR D,3.19,40.6183333333%,45.6616666667%,8.17666666667%,3.00666666667%,2.53333333333%,6
,NEIGHBORS R,2.98,36.745%,37.31%,15.155%,8.71%,2.085%,2
,OZMENT K,2.83,34.78%,32.61%,21.74%,2.17%,8.7%,1
,PETERSON N,3.98,97.92%,2.08%,0.0%,0.0%,0.0%,1
,PFANNKOCH T,3.76,82.71%,13.21%,2.0%,2.085%,0.0%,2
,POKHAREL R,3.4,54.0%,40.0%,2.0%,0.0%,4.0%,2
,POUNDERS L,3.62,76.855%,16.12%,3.02%,0.0%,4.0%,2
,RICO A,3.4,56.52%,32.61%,6.52%,2.17%,2.17%,1
,SANDLIN L,2.88,20.17%,58.2966666667%,13.19%,5.53%,2.81%,3
,SCHUTZ S,2.97,39.13%,39.13%,13.04%,2.17%,6.52%,1
,SHAKE N,3.33,66.355%,16.8%,8.47%,0.0%,8.38%,2
,SHEHU G,2.56,31.25%,27.08%,20.83%,8.33%,12.5%,1
,SNIDER J,3.55,70.21%,19.15%,8.51%,0.0%,2.13%,1
,SPEAR R,3.29,53.25%,34.5%,6.165%,0.0%,6.085%,2
,THIBODEAU A,3.38,54.85%,32.64%,9.32%,2.13%,1.065%,2
,THIELMAN F,3.16,28.91%,58.545%,12.545%,0.0%,0.0%,2
,TORABI K,3.5,62.5%,25.0%,12.5%,0.0%,0.0%,1
,VILLANUEVA A,2.91,33.33%,40.48%,11.9%,11.9%,2.38%,1
,WHEELER S,3.84,88.0%,8.0%,4.0%,0.0%,0.0%,1
,WHITE L,3.08,33.33%,54.17%,4.17%,4.17%,4.17%,1
,WILSON N,3.31,47.825%,38.405%,10.6%,3.17%,0.0%,2
,YI H,3.49,63.68%,28.71%,4.315%,0.0%,3.295%,2
,,,,,,,
ENGL-201,,,,,,,
,SWEARINGEN C,2.82,27.27%,45.45%,18.18%,0.0%,9.09%,1
,,,,,,,
ENGL-202,,,,,,,
,EGENOLF S,2.63,11.11%,51.85%,25.93%,11.11%,0.0%,1
,OLIVER L,3.43,50.0%,42.86%,7.14%,0.0%,0.0%,1
,,,,,,,
ENGL-203,,,,,,,
,AMICO L,3.25,62.5%,16.67%,12.5%,0.0%,8.33%,1
,BARTLETT C,3.57,71.43%,23.81%,0.0%,0.0%,4.76%,1
,BARTZ E,3.73,79.715%,15.905%,2.0%,2.38%,0.0%,2
,BOENIG R,2.86,18.18%,50.0%,31.82%,0.0%,0.0%,1
,BUSTAMANTE C,3.75,75.17%,24.83%,0.0%,0.0%,0.0%,2
,CHABOT B,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,CHUNG S,3.26,49.49%,33.44%,10.685%,6.385%,0.0%,2
,CLARK W,3.11,27.78%,55.56%,16.67%,0.0%,0.0%,1
,COOPER R,3.1,33.7333333333%,51.31%,10.5233333333%,0.463333333333%,3.97333333333%,3
,COVINGTON A,3.41,60.87%,21.74%,15.22%,2.17%,0.0%,1
,DEL H,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,DUNN E,2.69,22.17%,45.895%,17.795%,7.155%,6.985%,2
,EGENOLF S,3.0,20.83%,62.5%,12.5%,4.17%,0.0%,1
,FISHER D,3.08,30.585%,53.085%,12.335%,2.0%,2.0%,2
,FOREMAN A,2.62,33.33%,23.81%,23.81%,9.52%,9.52%,1
,FOSTER A,3.29,42.79%,45.795%,10.225%,0.0%,1.19%,4
,GRIFFIN R,3.1,47.37%,26.32%,15.79%,10.53%,0.0%,1
,GUTIERREZ K,3.31,39.74%,51.74%,8.52%,0.0%,0.0%,2
,HABBESTAD T,2.9,45.0%,10.0%,40.0%,0.0%,5.0%,1
,HAN H,3.35,51.61%,35.48%,9.68%,3.23%,0.0%,1
,HANNAH J,3.04,30.87%,48.2666666667%,17.74%,0.456666666667%,2.66666666667%,3
,HARNER J,3.14,35.56%,40.0%,24.44%,0.0%,0.0%,1
,HARRIS J,3.14,37.005%,45.25%,13.455%,2.355%,1.935%,2
,JOHANSEN E,2.85,11.9066666667%,67.66%,17.2633333333%,0.0%,3.17333333333%,3
,JUNG J,3.78,83.33%,11.9%,2.38%,2.38%,0.0%,1
,JUNG Y,3.34,50.0%,39.13%,4.35%,6.52%,0.0%,1
,KIM B,3.83,82.61%,17.39%,0.0%,0.0%,0.0%,1
,KIM S,3.62,71.3533333333%,22.4266666667%,3.77333333333%,1.58666666667%,0.853333333333%,3
,LEE J,3.28,48.0%,40.0%,8.0%,0.0%,4.0%,1
,MANDELL L,3.66,65.945%,34.055%,0.0%,0.0%,0.0%,2
,MCDERMOTT S,2.84,40.0%,36.0%,4.0%,8.0%,12.0%,1
,MORRIS L,2.78,16.1925%,56.2975%,21.7775%,1.04%,4.6875%,4
,MUKHERJEE D,3.04,35.3266666667%,48.99%,6.40666666667%,2.86%,6.40666666667%,3
,NAIR D,3.25,42.0725%,46.5925%,7.135%,1.505%,2.695%,4
,NEIGHBORS R,3.48,52.08%,43.75%,4.17%,0.0%,0.0%,1
,OZMENT K,2.7,13.33%,46.67%,37.78%,2.22%,0.0%,1
,PERRINGS L,3.43,52.38%,38.1%,9.52%,0.0%,0.0%,1
,PETERSON N,3.49,62.29%,31.12%,3.295%,0.0%,3.295%,2
,PFANNKOCH T,3.54,58.0%,38.0%,4.0%,0.0%,0.0%,1
,PFUNTNER D,3.43,62.375%,23.415%,11.165%,1.0%,2.04%,2
,POKHAREL R,3.48,62.22%,28.89%,6.67%,0.0%,2.22%,1
,RICO A,3.5,62.5%,25.0%,12.5%,0.0%,0.0%,1
,ROBINSON E,2.85,21.855%,46.68%,28.835%,0.0%,2.63%,2
,ROBINSON S,3.38,45.83%,45.83%,8.33%,0.0%,0.0%,1
,SANDLIN L,3.08,40.0%,44.0%,4.0%,8.0%,4.0%,1
,SHAKE N,3.18,42.5%,45.0%,2.5%,5.0%,5.0%,1
,SHEHU G,2.86,37.34%,37.12%,11.47%,2.38%,11.69%,2
,SNIDER J,3.33,56.855%,24.08%,16.89%,0.0%,2.175%,2
,SUTTON T,3.33,50.915%,33.71%,12.335%,3.04%,0.0%,2
,TARPLEY E,3.17,56.52%,26.09%,0.0%,13.04%,4.35%,1
,TAYLOR C,3.63,79.2%,15.54%,0.0%,0.0%,5.265%,2
,THIBODEAU A,3.01,34.25%,41.1%,17.81%,5.48%,1.37%,1
,THIELMAN F,2.89,20.995%,53.355%,22.13%,0.0%,3.515%,2
,TORABI K,3.42,58.33%,33.33%,4.17%,0.0%,4.17%,1
,TREVINO R,3.11,35.34%,51.71%,6.48%,2.175%,4.305%,2
,TRNINIC M,3.62,76.19%,14.29%,4.76%,4.76%,0.0%,1
,TUHKANEN M,3.32,52.955%,32.725%,9.775%,2.275%,2.275%,2
,WARREN N,3.12,30.05%,53.52%,15.02%,0.94%,0.47%,1
,WOLLOCK J,3.67,79.17%,12.5%,4.17%,4.17%,0.0%,1
,YOST B,3.2,44.835%,42.375%,6.16%,1.135%,5.5%,2
,,,,,,,
ENGL-204,,,,,,,
,OLIVER L,3.3,50.415%,33.24%,12.62%,3.725%,0.0%,2
,TUHKANEN M,2.47,17.65%,41.18%,17.65%,17.65%,5.88%,1
,,,,,,,
ENGL-205,,,,,,,
,TUHKANEN M,2.9,33.33%,42.86%,9.52%,9.52%,4.76%,1
,,,,,,,
ENGL-206,,,,,,,
,JOHANSEN E,3.25,50.34%,31.03%,13.79%,2.76%,2.07%,1
,VASILAKIS A,3.26,57.89%,23.68%,10.53%,2.63%,5.26%,1
,,,,,,,
ENGL-209,,,,,,,
,KENDALL S,3.72,76.0%,20.0%,4.0%,0.0%,0.0%,5
,MITCHELL J,2.8,20.0%,40.0%,40.0%,0.0%,0.0%,1
,,,,,,,
ENGL-210,,,,,,,
,ADANU E,3.17,37.5%,45.83%,12.5%,4.17%,0.0%,1
,BARTLETT C,3.47,68.75%,21.88%,3.13%,0.0%,6.25%,1
,BARTZ E,3.97,97.375%,2.63%,0.0%,0.0%,0.0%,2
,BRENNER C,3.58,63.83%,30.56%,5.60666666667%,0.0%,0.0%,3
,BUSTAMANTE C,3.57,65.7%,28.19%,4.06%,1.23%,0.82%,4
,CARDOSO D,3.41,67.65%,20.59%,2.94%,2.94%,5.88%,1
,CENEGY N,3.83,91.3%,4.0%,2.65666666667%,0.0%,2.04666666667%,3
,CLOUGH K,3.29,42.86%,42.86%,14.29%,0.0%,0.0%,1
,COOPER R,3.6,69.78%,25.05%,3.175%,0.0%,2.0%,2
,COVINGTON A,3.52,61.705%,32.025%,4.655%,0.0%,1.615%,2
,DEBONIS V,3.6,62.86%,34.29%,2.86%,0.0%,0.0%,1
,DUNAI A,3.3,43.75%,45.31%,7.81%,3.13%,0.0%,1
,DUNN E,3.23,49.0475%,35.8075%,8.08%,2.8475%,4.22%,4
,DUPLESSIS N,2.59,31.82%,27.27%,22.73%,4.55%,13.64%,1
,EMBREE D,3.65,69.57%,26.09%,4.35%,0.0%,0.0%,1
,FILBECK M,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,FOSTER A,3.5,64.71%,26.47%,5.88%,0.0%,2.94%,1
,GUTIERREZ K,3.65,67.75%,30.585%,0.825%,0.415%,0.425%,2
,HAN H,3.77,80.0%,16.67%,3.33%,0.0%,0.0%,1
,HARRIS J,3.28,40.63%,50.0%,6.25%,3.13%,0.0%,1
,HAWKINS C,3.23,35.5366666667%,52.8733333333%,11.0933333333%,0.333333333333%,0.166666666667%,3
,HENEKS G,3.44,59.09%,31.82%,4.55%,2.27%,2.27%,1
,JUNG J,3.62,74.7166666667%,19.94%,1.45%,0.0%,3.89333333333%,3
,JUNG Y,3.58,70.31%,21.88%,4.69%,1.56%,1.56%,1
,KIM S,3.61,71.21%,24.24%,1.52%,0.0%,3.03%,1
,LAMEBORSHI E,3.05,23.7233333333%,63.7066666667%,8.41%,2.09666666667%,2.07%,3
,LIEBE L,3.88,91.67%,4.17%,4.17%,0.0%,0.0%,1
,LOUTSENKO A,3.07,51.72%,20.69%,13.79%,10.34%,3.45%,1
,MOHAMMED U,3.68,72.92%,25.0%,0.0%,2.08%,0.0%,1
,MORRIS L,2.78,6.25%,71.88%,15.63%,6.25%,0.0%,1
,MUKHERJEE D,3.08,30.985%,56.3075%,7.2875%,1.6125%,3.81%,4
,MURRAY C,3.67,76.254%,18.36%,3.388%,0.068%,1.932%,5
,NAIR D,3.35,53.1633333333%,36.37%,4.41%,3.90333333333%,2.15%,3
,PERRINGS L,3.35,45.315%,45.505%,7.625%,1.565%,0.0%,2
,PETERSON N,3.81,89.045%,6.45%,1.615%,2.085%,0.805%,2
,PFANNKOCH T,3.22,52.17%,30.43%,8.7%,4.35%,4.35%,1
,RICO A,3.46,72.82%,12.764%,5.782%,4.83%,3.804%,5
,SANDLIN L,3.12,48.655%,31.86%,8.035%,5.725%,5.725%,2
,SCHUTZ S,3.31,43.335%,47.145%,8.095%,0.0%,1.43%,2
,SHAKE N,3.53,61.0066666667%,33.36%,3.29333333333%,2.34333333333%,0.0%,3
,SNIDER J,3.55,74.5925%,13.6975%,6.4475%,2.475%,2.785%,4
,SPEAR R,3.2,48.0%,32.0%,16.0%,0.0%,4.0%,1
,STOVER D,3.26,56.2133333333%,26.2366666667%,9.76%,3.09333333333%,4.69666666667%,3
,SUTTON T,3.05,31.98%,49.57%,12.7833333333%,2.57666666667%,3.09%,3
,TEBEAUX E,3.38,55.205%,29.915%,10.795%,1.02%,3.06%,2
,THIELMAN F,3.43,67.395%,19.565%,6.52%,2.175%,4.35%,2
,TREVINO R,3.35,46.27%,43.28%,8.96%,1.49%,0.0%,1
,WILSON C,2.94,18.625%,59.775%,19.5175%,1.625%,0.46%,4
,YI H,3.57,68.66%,25.862%,2.584%,0.0%,2.892%,5
,,,,,,,
ENGL-211,,,,,,,
,CERRATO M,2.78,44.44%,11.11%,22.22%,22.22%,0.0%,1
,,,,,,,
ENGL-212,,,,,,,
,DICKSON D,2.94,36.88%,32.9225%,21.47%,4.5%,4.23%,4
,ESTILL L,2.45,12.12%,45.45%,24.24%,12.12%,6.06%,1
,GREENWALD M,3.68,75.445%,18.745%,4.735%,0.55%,0.525%,2
,HARNER J,2.61,15.98%,40.72%,33.85%,6.71%,2.745%,2
,JUNG Y,3.5,50.0%,50.0%,0.0%,0.0%,0.0%,1
,,,,,,,
ENGL-219,,,,,,,
,EGENOLF S,2.91,18.75%,62.5%,12.5%,3.13%,3.13%,1
,HOAGWOOD T,3.43,61.9%,23.81%,9.52%,4.76%,0.0%,1
,STABILE S,3.28,38.4875%,46.33%,13.3825%,1.8%,0.0%,4
,,,,,,,
ENGL-221,,,,,,,
,BHATTACHARYA N,3.64,68.36%,27.295%,4.35%,0.0%,0.0%,2
,DICKSON D,3.23,44.965%,32.955%,22.08%,0.0%,0.0%,2
,HANNAH J,2.77,22.34%,43.62%,25.53%,5.32%,3.19%,1
,VASILAKIS A,3.29,54.87%,28.32%,9.73%,5.31%,1.77%,1
,,,,,,,
ENGL-222,,,,,,,
,BHATTACHARYA N,3.39,51.265%,39.78%,6.925%,0.675%,1.35%,2
,DELNEGRO G,3.04,39.1366666667%,36.2366666667%,14.3166666667%,10.3066666667%,0.0%,3
,HANNAH J,2.58,14.81%,38.27%,38.27%,7.41%,1.23%,1
,ROSENTHAL A,3.48,58.1775%,34.9425%,5.3375%,0.0%,1.5425%,4
,THIBODEAU A,3.5,67.21%,22.95%,4.92%,3.28%,1.64%,1
,VASILAKIS A,3.18,52.63%,23.68%,15.79%,5.26%,2.63%,1
,,,,,,,
ENGL-227,,,,,,,
,BENDIXEN A,3.19,38.71%,47.31%,10.75%,1.08%,2.15%,1
,CLARK W,2.75,22.185%,38.01%,34.205%,4.31%,1.295%,2
,HODGSON L,3.03,32.745%,44.54%,17.6875%,2.8025%,2.225%,4
,HOWELL J,3.23,47.06%,29.41%,23.53%,0.0%,0.0%,1
,LOVING J,3.21,40.5533333333%,41.39%,16.9466666667%,1.11%,0.0%,3
,REYNOLDS L,2.5,17.86%,42.86%,17.86%,14.29%,7.14%,1
,,,,,,,
ENGL-228,,,,,,,
,CLARK W,3.17,42.86%,33.33%,21.43%,2.38%,0.0%,1
,COLLINS M,2.91,11.43%,74.29%,11.43%,0.0%,2.86%,1
,EARHART A,3.0,20.3857142857%,64.3257142857%,12.3114285714%,1.34857142857%,1.63%,7
,LOVING J,3.4,48.65%,43.24%,8.11%,0.0%,0.0%,1
,OLIVER L,3.3,53.53%,29.03%,13.11%,2.9%,1.43%,2
,REDDY V,3.57,59.46%,37.84%,2.7%,0.0%,0.0%,1
,REYNOLDS L,3.02,30.95%,54.76%,2.38%,9.52%,2.38%,1
,,,,,,,
ENGL-231,,,,,,,
,ESTILL L,3.04,30.77%,50.0%,11.54%,7.69%,0.0%,1
,EZELL-MAINZER M,3.16,49.54%,24.62%,18.945%,5.815%,1.08%,2
,GRIFFIN R,3.27,51.925%,30.815%,11.705%,3.705%,1.85%,2
,MACHANN C,2.92,32.0466666667%,38.9%,21.3233333333%,4.67666666667%,3.05%,3
,MANDELL L,3.39,53.775%,33.24%,11.485%,1.02%,0.48%,2
,MIZE B,2.9,19.05%,52.38%,28.57%,0.0%,0.0%,1
,PERRY N,2.88,30.475%,33.62%,31.24%,3.195%,1.47%,2
,PETERSON N,3.26,41.94%,45.16%,9.68%,3.23%,0.0%,1
,,,,,,,
ENGL-232,,,,,,,
,COOPER R,3.12,26.92%,57.69%,15.38%,0.0%,0.0%,1
,EGENOLF S,2.98,26.265%,52.13%,16.43%,3.45%,1.725%,2
,EIDE M,2.9,24.04%,49.04%,21.15%,4.81%,0.96%,1
,FARRELL M,3.3,51.8%,32.3833333333%,11.1633333333%,3.51333333333%,1.13666666667%,3
,HOWELL J,2.87,34.78%,39.13%,13.04%,4.35%,8.7%,1
,IVES M,3.32,42.0%,50.0%,6.0%,2.0%,0.0%,1
,JOHANSEN E,2.8,16.075%,57.545%,21.765%,0.0%,4.605%,2
,MACHANN C,2.94,34.835%,34.75%,22.415%,6.0%,2.0%,2
,OZMENT K,2.97,23.53%,52.94%,20.59%,2.94%,0.0%,1
,,,,,,,
ENGL-235,,,,,,,
,BARTLETT C,3.78,78.355%,21.645%,0.0%,0.0%,0.0%,2
,FOSTER A,3.42,66.67%,16.67%,8.33%,8.33%,0.0%,1
,HARRIS J,3.1,47.62%,33.33%,9.52%,0.0%,9.52%,1
,HEINEMANN L,3.94,93.75%,6.25%,0.0%,0.0%,0.0%,2
,HOAGWOOD T,3.13,52.4966666667%,24.9533333333%,12.5666666667%,3.47666666667%,6.50666666667%,3
,LEVINSON D,3.5,57.45%,36.17%,4.26%,2.13%,0.0%,1
,MCCANN J,3.88,90.166%,9.0%,0.0%,0.0%,0.834%,5
,PORTALES M,3.61,66.695%,25.86%,6.725%,0.0%,0.715%,4
,TAYLOR C,3.4,68.2628571429%,16.8328571429%,7.92428571429%,1.45285714286%,5.52714285714%,7
,WHITE L,3.33,41.4366666667%,54.3966666667%,1.85333333333%,0.693333333333%,1.62%,3
,,,,,,,
ENGL-241,,,,,,,
,GUTIERREZ K,3.6,64.58%,31.25%,4.17%,0.0%,0.0%,1
,HAWKINS C,3.24,40.3%,50.53%,5.852%,0.0%,3.316%,5
,MELZOW C,3.42,55.56%,35.56%,6.67%,0.0%,2.22%,1
,MURRAY C,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,TEBEAUX E,3.04,16.67%,70.83%,12.5%,0.0%,0.0%,1
,TREVINO R,3.13,50.0%,29.17%,12.5%,0.0%,8.33%,1
,,,,,,,
ENGL-251,,,,,,,
,ELLIS L,3.26,54.59%,25.6666666667%,13.65%,2.85333333333%,3.24%,3
,GARRITANO C,3.12,35.64%,43.59%,17.91%,2.86%,0.0%,4
,MOREY A,2.8,21.0325%,47.8675%,21.65%,9.45%,0.0%,4
,,,,,,,
ENGL-289,,,,,,,
,FARRELL M,3.92,92.31%,7.69%,0.0%,0.0%,0.0%,1
,,,,,,,
ENGL-301,,,,,,,
,BOENIG R,3.0,33.33%,51.85%,3.7%,3.7%,7.41%,1
,BRENNER C,3.65,76.92%,19.23%,0.0%,0.0%,3.85%,1
,BUSTAMANTE C,3.35,68.97%,10.34%,10.34%,6.9%,3.45%,1
,CHRISTENSEN C,3.86,96.43%,0.0%,0.0%,0.0%,3.57%,1
,COOPER R,3.58,62.5%,33.33%,4.17%,0.0%,0.0%,1
,COTHREN C,3.47,50.0%,46.67%,3.33%,0.0%,0.0%,1
,DELHIERRO M,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,DUNAI A,3.07,37.6033333333%,44.9433333333%,10.5533333333%,1.11%,5.79%,3
,DUNN E,3.46,74.55%,14.55%,0.0%,3.64%,7.27%,1
,EDENFIELD C,3.28,36.0%,56.0%,8.0%,0.0%,0.0%,1
,ELSTON M,2.79,16.36%,50.91%,29.09%,1.82%,1.82%,1
,FISHER D,3.48,70.37%,22.22%,0.0%,0.0%,7.41%,1
,FOSTER A,3.3,43.905%,43.965%,10.345%,1.785%,0.0%,2
,HAN H,3.52,62.07%,29.31%,6.9%,1.72%,0.0%,1
,HAWKINS C,2.84,20.74%,52.78%,21.3%,0.0%,5.185%,2
,JUNG Y,3.3,66.67%,18.52%,3.7%,0.0%,11.11%,1
,KIM B,3.75,84.445%,11.885%,0.91%,0.0%,2.76%,2
,KIM S,3.65,69.645%,28.57%,0.0%,0.0%,1.785%,2
,KIM Y,3.27,46.43%,42.86%,5.36%,1.79%,3.57%,1
,KINKEAD A,3.3,51.28%,33.1133333333%,10.8%,3.61333333333%,1.19%,3
,KNIGHT E,3.37,55.56%,33.33%,7.41%,0.0%,3.7%,1
,LEPIANKA N,3.35,61.62%,23.425%,7.05%,4.415%,3.48%,2
,MORRIS L,2.46,8.33%,45.83%,33.33%,8.33%,4.17%,1
,MUKHERJEE D,2.69,11.54%,61.54%,19.23%,0.0%,7.69%,1
,MURRAY C,3.57,67.968%,24.354%,5.74%,0.254%,1.684%,5
,NEIGHBORS R,3.35,65.52%,17.24%,6.9%,6.9%,3.45%,1
,OZMENT K,2.84,20.045%,59.195%,11.42%,3.81%,5.535%,2
,PERRINGS L,3.33,53.33%,33.33%,10.0%,0.0%,3.33%,1
,PETERSON N,3.85,90.94%,7.205%,0.0%,0.0%,1.85%,2
,PFUNTNER D,3.35,65.52%,24.14%,0.0%,0.0%,10.34%,1
,POKHAREL R,3.47,61.145%,31.835%,3.51%,0.0%,3.51%,2
,RICO A,3.51,80.32%,7.255%,2.185%,3.6775%,6.5575%,4
,RYU Y,3.44,70.37%,11.11%,11.11%,7.41%,0.0%,1
,SHEHU G,2.65,26.92%,30.77%,30.77%,3.85%,7.69%,1
,SNIDER J,3.54,73.375%,14.175%,6.895%,3.705%,1.85%,2
,SPEAR R,3.36,48.275%,44.825%,3.45%,1.725%,1.725%,2
,SUTTON T,3.46,57.14%,32.14%,10.71%,0.0%,0.0%,1
,TEBEAUX E,3.21,23.64%,50.91%,12.73%,9.09%,3.64%,1
,VILLANUEVA A,3.07,33.33%,53.33%,6.67%,0.0%,6.67%,1
,WHEELER S,3.78,88.335%,6.665%,1.665%,1.665%,1.665%,2
,YI H,3.51,68.85%,22.95%,1.64%,3.28%,3.28%,1
,YI J,3.6,77.7925%,13.25%,3.4175%,2.555%,2.98%,4
,YOST B,3.22,40.74%,51.85%,0.0%,3.7%,3.7%,1
,,,,,,,
ENGL-302,,,,,,,
,KILLINGSWORTH M,3.62,69.34%,24.96%,4.615%,0.0%,1.085%,2
,,,,,,,
