Course,Professor,GPA,% of A's,% of B's,% of C's,% of D's,% of F's,N
,HERLIHY S,2.5,18.07%,29.43%,37.84%,13.525%,1.135%,2
,LAIHING S,2.35,7.04%,38.855%,37.23%,13.935%,2.94%,2
,LEE C,2.81,18.18%,38.64%,38.64%,2.27%,2.27%,1
,RAMSEY M,2.4,7.63%,44.12%,37.595%,6.065%,4.595%,2
,SILVA P,2.77,31.82%,36.36%,18.18%,4.55%,9.09%,1
,,,,,,,
BIOL-206,,,,,,,
,BEREMAND P,2.52,18.255%,33.23%,34.62%,13.29%,0.595%,2
,MOYES R,2.84,24.1%,42.9633333333%,25.59%,6.46%,0.89%,3
,TAG A,2.68,16.0%,48.0%,28.0%,8.0%,0.0%,1
,WAN W,3.32,43.3866666667%,47.0433333333%,8.2%,0.64%,0.726666666667%,3
,,,,,,,
BIOL-213,,,,,,,
,AUFDERHEIDE K,2.56,18.6%,31.7833333333%,39.0266666667%,7.87666666667%,2.71%,3
,ERICKSON J,2.57,20.805%,34.795%,30.75%,7.91%,5.74%,4
,LOCKLESS S,2.55,26.22%,30.0233333333%,24.135%,11.495%,8.12833333333%,6
,MAGGERT K,2.84,30.44%,40.33%,17.93%,5.62%,5.68%,2
,MENET J,2.49,26.015%,25.91%,26.37%,14.675%,7.03%,2
,QIN H,2.71,24.805%,35.755%,27.78%,8.685%,2.975%,2
,VERSAW W,2.42,8.33%,54.17%,16.67%,12.5%,8.33%,1
,,,,,,,
BIOL-214,,,,,,,
,BERNARDO J,2.69,18.876%,42.995%,28.353%,7.832%,1.943%,10
,CRISCIONE C,2.7,14.58%,48.96%,28.13%,8.33%,0.0%,1
,JONES A,2.64,16.8766666667%,44.8766666667%,26.31%,8.96%,2.98333333333%,3
,MERLIN C,2.66,16.13%,43.55%,30.65%,9.68%,0.0%,1
,PEPPER A,3.02,35.862%,38.75%,18.518%,4.972%,1.894%,5
,,,,,,,
BIOL-285,,,,,,,
,MAGGERT K,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,SMITH J,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,TAG A,3.83,83.33%,16.67%,0.0%,0.0%,0.0%,1
,WALTON J,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,3
,WINEMILLER L,3.0,20.0%,60.0%,20.0%,0.0%,0.0%,1
,,,,,,,
BIOL-295,,,,,,,
