Course,Professor,GPA,% of A's,% of B's,% of C's,% of D's,% of F's,N
ATMO-201,,,,,,,
,BROOKS S,3.4,54.055%,34.925%,8.39%,1.755%,0.875%,2
,COLLINS D,2.99,32.735%,38.5175%,24.8125%,2.74%,1.1975%,4
,LEMMON M,3.73,78.98%,15.475%,5.025%,0.52%,0.0%,2
,ORVILLE R,3.36,51.4366666667%,37.2933333333%,7.99%,2.55333333333%,0.73%,3
,SCHUMACHER C,3.08,35.35%,42.52%,17.705%,3.865%,0.555%,2
,SCHADE G,2.86,25.0%,41.67%,30.56%,0.0%,2.78%,1
,EPIFANIO C,3.14,37.2883333333%,39.275%,21.09%,2.24%,0.11%,6
,HUFFINES G,3.89,89.8%,9.18%,1.02%,0.0%,0.0%,1
,BOWMAN K,3.04,33.595%,39.33%,24.9%,2.175%,0.0%,2
,SARAVANAN R,2.82,29.55%,31.82%,31.82%,4.55%,2.27%,1
,SZUNYOGH I,2.88,31.25%,40.63%,15.63%,9.38%,3.13%,1
,LOGAN T,3.67,71.5025%,24.775%,3.5275%,0.0%,0.195%,4
,CONLEE D,3.19,44.865%,33.25%,18.1525%,3.07%,0.6625%,4
,,,,,,,
ATMO-202,,,,,,,
,SCHUMACHER C,3.15,49.04%,31.21%,14.01%,1.91%,3.82%,1
,LOGAN T,3.07,37.715%,38.605%,16.525%,5.25%,1.905%,2
,EPIFANIO C,3.12,40.075%,41.18%,12.86%,4.155%,1.725%,2
,SARAVANAN R,2.97,38.97%,30.88%,19.85%,7.35%,2.94%,1
,CONLEE D,3.17,41.38%,40.52%,15.52%,0.86%,1.72%,1
,,,,,,,
ATMO-203,,,,,,,
,CONLEE D,3.27,48.7671428571%,34.4785714286%,11.5485714286%,5.20428571429%,0.0%,7
,,,,,,,
ATMO-251,,,,,,,
,CONLEE D,3.11,34.97%,44.5033333333%,18.5633333333%,1.96%,0.0%,3
,,,,,,,
ATMO-321,,,,,,,
,SZUNYOGH I,3.09,45.45%,27.27%,18.18%,9.09%,0.0%,1
,BOWMAN K,3.04,33.635%,44.505%,16.59%,2.63%,2.63%,2
,SARAVANAN R,3.24,51.315%,25.79%,20.3325%,1.0%,1.5625%,4
,,,,,,,
ATMO-326,,,,,,,
,SCHADE G,2.92,0.0%,91.67%,8.33%,0.0%,0.0%,1
,,,,,,,
ATMO-335,,,,,,,
,SZUNYOGH I,3.16,44.0%,32.0%,20.0%,4.0%,0.0%,1
,NORTH J,2.88,26.46%,36.64%,35.685%,1.22%,0.0%,2
,,,,,,,
ATMO-336,,,,,,,
,KORTY R,2.79,24.0%,32.0%,44.0%,0.0%,0.0%,1
,PANETTA R,2.6,29.27%,19.51%,39.02%,7.32%,4.88%,1
,EPIFANIO C,3.28,39.13%,47.83%,13.04%,0.0%,0.0%,1
,,,,,,,
ATMO-352,,,,,,,
,NOWOTARSKI C,2.92,28.015%,45.69%,16.955%,7.615%,1.725%,2
,CONLEE D,3.24,35.785%,51.39%,12.825%,0.0%,0.0%,2
,,,,,,,
ATMO-363,,,,,,,
